split,modality,field,num_volumes,alpha,ci_low,ci_high,rms_residual
val,T1W,0.1T,3,4.4484,4.1933,4.6119,0.3288
val,T1W,1.5T,3,3.5543,3.5465,3.5595,0.2643
val,T1W,3T,3,3.2634,3.2224,3.3201,0.1944
val,T1W,5T,3,2.8832,2.8737,2.9014,0.1473
val,T1W,7T,3,3.3378,3.2431,3.4812,0.3105
val,T2W,0.1T,3,3.994,3.8507,4.1398,0.347
val,T2W,1.5T,3,3.1158,3.0456,3.1877,0.2038
val,T2W,3T,3,2.9052,2.7563,3.1173,0.21
val,T2W,5T,3,2.7457,2.7078,2.7699,0.1902
val,T2W,7T,3,3.0338,3.0163,3.0678,0.2187
val,T2FLAIR,0.1T,3,3.7029,3.5464,3.8005,0.1607
val,T2FLAIR,1.5T,3,3.3177,3.3017,3.3342,0.1982
val,T2FLAIR,3T,3,3.2523,3.2138,3.2734,0.2193
val,T2FLAIR,5T,3,3.1216,3.0893,3.156,0.1091
val,T2FLAIR,7T,3,3.3353,3.3255,3.3466,0.22
retro,T1W,0.1T,30,4.3166,4.2512,4.3849,0.2486
retro,T1W,1.5T,30,3.466,3.438,3.494,0.2085
retro,T1W,3T,30,3.1368,3.1174,3.1574,0.2289
retro,T1W,5T,30,2.8029,2.7729,2.8298,0.1192
retro,T1W,7T,30,3.308,3.2815,3.3351,0.327
retro,T2W,0.1T,30,4.1634,4.1205,4.2061,0.2795
retro,T2W,1.5T,30,2.7615,2.7481,2.7741,0.0949
retro,T2W,3T,30,2.6014,2.5769,2.6289,0.1866
retro,T2W,5T,30,2.447,2.4094,2.4847,0.1027
retro,T2W,7T,30,2.6614,2.6414,2.6822,0.1186
retro,T2FLAIR,0.1T,30,3.9872,3.9307,4.043,0.2533
retro,T2FLAIR,1.5T,30,3.043,3.0225,3.0633,0.1397
retro,T2FLAIR,3T,30,3.0376,3.0146,3.0627,0.3011
retro,T2FLAIR,5T,30,2.8756,2.8507,2.9009,0.0556
retro,T2FLAIR,7T,30,2.6935,2.6758,2.7125,0.1472
